Well_ID,X,Y,Z,TOC
WELL_1,737222.4922657245,7229719.108044099,-6800.0,11.118528947223794
WELL_1,737222.4922657245,7229719.108044099,-6655.555555555556,6.617160828742641
WELL_1,737222.4922657245,7229719.108044099,-6511.111111111111,8.365890929796626
WELL_1,737222.4922657245,7229719.108044099,-6366.666666666667,9.330285099603584
WELL_1,737222.4922657245,7229719.108044099,-6222.222222222223,10.449588731059247
WELL_1,737222.4922657245,7229719.108044099,-6077.777777777777,13.962870725041249
WELL_1,737222.4922657245,7229719.108044099,-5933.333333333333,8.330071154916931
WELL_1,737222.4922657245,7229719.108044099,-5788.888888888889,11.697899939691672
WELL_1,737222.4922657245,7229719.108044099,-5644.444444444444,12.701923466398203
WELL_1,737222.4922657245,7229719.108044099,-5500.0,7.4645041271999775
WELL_2,743358.7473632656,7239022.496551188,-6800.0,11.075448519014383
WELL_2,743358.7473632656,7239022.496551188,-6655.555555555556,6.927463459095137
WELL_2,743358.7473632656,7239022.496551188,-6511.111111111111,6.094960374297239
WELL_2,743358.7473632656,7239022.496551188,-6366.666666666667,15.0
WELL_2,743358.7473632656,7239022.496551188,-6222.222222222223,15.0
WELL_2,743358.7473632656,7239022.496551188,-6077.777777777777,14.195084592275723
WELL_2,743358.7473632656,7239022.496551188,-5933.333333333333,9.37947102506704
WELL_2,743358.7473632656,7239022.496551188,-5788.888888888889,7.5322766956193945
WELL_2,743358.7473632656,7239022.496551188,-5644.444444444444,13.620108042899346
WELL_2,743358.7473632656,7239022.496551188,-5500.0,11.401524937396013
WELL_3,741029.3754802914,7237675.317879844,-6800.0,6.220382348447789
WELL_3,741029.3754802914,7237675.317879844,-6655.555555555556,10.173991323334924
WELL_3,741029.3754802914,7237675.317879844,-6511.111111111111,5.788329655596628
WELL_3,741029.3754802914,7237675.317879844,-6366.666666666667,14.759870687454487
WELL_3,741029.3754802914,7237675.317879844,-6222.222222222223,8.476688704889057
WELL_3,741029.3754802914,7237675.317879844,-6077.777777777777,12.736333954650933
WELL_3,741029.3754802914,7237675.317879844,-5933.333333333333,9.450444094227445
WELL_3,741029.3754802914,7237675.317879844,-5788.888888888889,11.756235767333663
WELL_3,741029.3754802914,7237675.317879844,-5644.444444444444,12.244880571210576
WELL_3,741029.3754802914,7237675.317879844,-5500.0,8.84854455525527
WELL_4,739609.3528566984,7231598.303284647,-6800.0,14.695846277645586
WELL_4,739609.3528566984,7231598.303284647,-6655.555555555556,12.973550455833367
WELL_4,739609.3528566984,7231598.303284647,-6511.111111111111,14.839433860086336
WELL_4,739609.3528566984,7231598.303284647,-6366.666666666667,14.614940170943154
WELL_4,739609.3528566984,7231598.303284647,-6222.222222222223,11.867888676999739
WELL_4,739609.3528566984,7231598.303284647,-6077.777777777777,15.0
WELL_4,739609.3528566984,7231598.303284647,-5933.333333333333,7.218258353852529
WELL_4,739609.3528566984,7231598.303284647,-5788.888888888889,8.515384179747008
WELL_4,739609.3528566984,7231598.303284647,-5644.444444444444,7.230050666883158
WELL_4,739609.3528566984,7231598.303284647,-5500.0,10.253303307632644
WELL_5,734895.238520712,7231299.264678629,-6800.0,8.88677289689482
WELL_5,734895.238520712,7231299.264678629,-6655.555555555556,7.935712539961181
WELL_5,734895.238520712,7231299.264678629,-6511.111111111111,13.731819535963739
WELL_5,734895.238520712,7231299.264678629,-6366.666666666667,9.234199933602559
WELL_5,734895.238520712,7231299.264678629,-6222.222222222223,8.698233985762695
WELL_5,734895.238520712,7231299.264678629,-6077.777777777777,11.538071942693596
WELL_5,734895.238520712,7231299.264678629,-5933.333333333333,7.74257558308096
WELL_5,734895.238520712,7231299.264678629,-5788.888888888889,14.577525363095953
WELL_5,734895.238520712,7231299.264678629,-5644.444444444444,7.523284214575486
